
time,gFx,gFy,gFz,wx,wy,wz,Bx,By,Bz,
8.699050,-0.0638,1.0251,-0.0455,-0.0682,-0.6550,0.0211,20.8421,-42.4202,-7.2217,
8.701670,-0.0785,1.0186,0.0084,-0.0682,-0.6550,0.0211,20.8421,-42.4202,-7.2217,
8.704782,-0.0785,1.0186,0.0084,-0.0682,-0.6550,0.0211,22.2164,-41.7638,-8.2458,
8.718930,-0.0785,1.0186,0.0084,-0.0682,-0.6550,0.0211,19.7027,-41.9360,-7.2478,
8.738174,-0.0785,1.0186,0.0084,0.0024,-0.6738,0.0320,19.7027,-41.9360,-7.2478,
8.743112,-0.0785,1.0186,0.0084,0.0024,-0.6738,0.0320,20.8421,-42.9614,-8.9888,
8.761427,-0.0785,1.0186,0.0084,0.0024,-0.6738,0.0320,20.8421,-42.9614,-8.9888,
8.766055,-0.0785,1.0186,0.0084,0.0024,-0.6738,0.0320,22.6133,-43.4732,-9.2480,
8.777420,-0.0868,1.0277,-0.0489,0.0024,-0.6738,0.0320,22.6133,-43.4732,-9.2480,
8.781685,-0.0868,1.0277,-0.0489,0.0024,-0.6738,0.0320,21.3578,-43.8311,-9.5585,
8.796967,-0.0868,1.0277,-0.0489,0.0141,-0.6700,-0.0006,21.3578,-43.8311,-9.5585,
8.800425,-0.0868,1.0277,-0.0489,0.0141,-0.6700,-0.0006,21.4469,-42.4238,-8.9875,
8.819612,-0.0868,1.0277,-0.0489,0.0141,-0.6700,-0.0006,21.4469,-42.4238,-8.9875,
8.821700,-0.0868,1.0277,-0.0489,0.0141,-0.6700,-0.0006,21.3254,-40.6922,-10.3488,
8.838602,-0.0701,1.0245,-0.0415,0.0141,-0.6700,-0.0006,21.3254,-40.6922,-10.3488,
8.841474,-0.0701,1.0245,-0.0415,0.0141,-0.6700,-0.0006,20.0213,-42.8993,-10.3347,
8.860618,-0.0701,1.0245,-0.0415,-0.0459,-0.6635,0.0233,20.0213,-42.8993,-10.3347,
8.863632,-0.0701,1.0245,-0.0415,-0.0459,-0.6635,0.0233,20.6990,-41.0753,-11.0927,
8.876555,-0.0701,1.0245,-0.0415,-0.0459,-0.6635,0.0233,20.6990,-41.0753,-11.0927,
8.880539,-0.0701,1.0245,-0.0415,-0.0459,-0.6635,0.0233,21.7169,-42.2615,-11.2053,
8.900185,-0.0701,1.0245,-0.0415,-0.0459,-0.6635,0.0233,21.4712,-43.3925,-10.7473,
8.916988,-0.0903,1.0258,-0.0113,-0.0459,-0.6635,0.0233,21.4712,-43.3925,-10.7473,
8.921994,-0.0903,1.0258,-0.0113,-0.0459,-0.6635,0.0233,20.5829,-41.7821,-10.9353,
8.937513,-0.0903,1.0258,-0.0113,-0.0244,-0.6700,0.0163,20.5829,-41.7821,-10.9353,
8.942865,-0.0903,1.0258,-0.0113,-0.0244,-0.6700,0.0163,20.5829,-41.7821,-10.9353,
8.944957,-0.0903,1.0258,-0.0113,-0.0244,-0.6700,0.0163,19.9376,-41.8778,-11.8320,
8.961711,-0.0903,1.0258,-0.0113,-0.0244,-0.6700,0.0163,21.1013,-42.6542,-11.3570,
8.976606,-0.0720,1.0244,-0.0169,-0.0244,-0.6700,0.0163,21.1013,-42.6542,-11.3570,
8.981039,-0.0720,1.0244,-0.0169,-0.0244,-0.6700,0.0163,20.0915,-44.5853,-11.7864,
8.994148,-0.0720,1.0244,-0.0169,-0.0244,-0.6700,0.0163,20.0915,-44.5853,-11.7864,
8.997213,-0.0720,1.0244,-0.0169,-0.0109,-0.6761,-0.0030,20.0915,-44.5853,-11.7864,
